State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Work not awarded/ Ongoing/ Financially completed,New scheme/ Retrofit/ Augmentation,SVS/ MVS/ Bulk Water Schemes,FHTCS planned,FHTCS provided,Ground/ Surface water/ Bulk Water Based/ Other,Un-verified status,NRDWP/ State and Others/ JJM-PWS/ JJM-Non-PWS,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physically completed/ Ongoing but physically not completed/ Work order not issued,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
Madhya Pradesh,E.E. PHED Division Sardarpur,8384601,TARSINGA JJM RETROFIT PWSS,117.21,2020-2021,28-09-2020,13-08-2021,11-02-2024,31-12-2025,117.21,0,117.21,104.60034,45.74527,104.60034,45.74527,Ongoing,retrofit/ Augmentation,SVS,138,125,Ground water based,,State and Others,State & Other completed and subsumed for Retrofit & Augmentation,117.21,55.674,5.861,100,Physically completed,September,2022,June,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Bhopal,8321375,BAGRAJ  PS,2.34,2020-2021,30-12-2020,18-06-2021,04-10-2024,30-11-2024,2.36558,0,2.36558,2.36558,1.18279,2.36558,1.18279,Financially completed,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.17,0,100,Physically completed,,,December,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division Gwalior,8370452,PRIMARY SCHOOL KHEDIYAKESHAR,1.72,2021-2022,22-12-2020,01-04-2021,07-03-2023,08-03-2023,1.72,0,1.72,1.72,0.855,1.72,0.855,Financially completed,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.86,0,100,Physically completed,,,March,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Harda,8333884,High School JJM Rahatgaon,1.19,2020-2021,20-11-2020,24-05-2021,08-01-2025,31-01-2025,1.19,0,1.19,1.1,0.55,1.1,0.55,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.595,0,100,Physically completed,,,September,2021,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Division CHHINDWARA,30250694,"KUKADEHIKHAPA_,PS",1.81,2020-2021,27-01-2021,17-04-2023,11-11-2024,30-04-2025,1.81,0,1.81,1.81,0,1.81,0,Ongoing,New PWS scheme,SVS,0,0,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,0.905,0,100,Physically completed,,,March,2025,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madhya Pradesh,E.E. PHED Divivsion Bhopal,8367535,PIPALIYA JUNADAR  PS,2.34,2020-2021,30-12-2020,18-06-2021,07-10-2024,30-11-2024,2.34,0,2.34,1.72298,0.52226,1.72298,0.52226,Ongoing,New PWS scheme,SVS,0,3,Ground water based,,JJM-PWS,Exclusive schools/ AWC,0,1.17,0,100,Physically completed,November,2022,January,2023,23-04-2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
