State Name,Division Name,SchemeId,Scheme Name,Estimated cost (in lakhs) as per work order,Sanction Year,SLSSC/ DWSSM meeting date (dd/mm/yyyy),Work order date (dd/mm/yyyy),Physical completion date,Tentative completion date,Derived estimated cost  (in lakhs),Total_inadmissible_cost  (in lakhs),Derived estimated cost after removing inadmisible cost loaded on JJM  (in lakhs),Total expenditure (in lakhs),Total central expenditure (in lakhs),Total expenditure (in lakhs) on or after 2019-20,Total central expenditure (in lakhs) on or after 2019-20,Status Of Completion,Category,Village Scheme Type,FHTCS planned,FHTCS provided,Source of Scheme,Un-verified status,Main Schemes Funded From,Type of scheme,In-village infrastructure cost (in lakhs) (After financial authentication),Central share cost (in lakhs) (After financial authentication),Community contribution (in lakhs) (After financial authentication),Physical completion progress (In percentage),Physical Work Status,Last FHTC reported Month,Last FHTC reported Year,Last Expenditure reported Month,Last Expenditure reported Year,Updated On
madhya pradesh,e.e. phed division sardarpur,8384601.0,tarsinga jjm retrofit pwss,117.21,2020-2021,28-09-2020,13-08-2021,11-02-2024,31-12-2025,117.21,0.0,117.21,104.60034,45.74527,104.60034,45.74527,ongoing,retrofit/ augmentation,svs,138.0,125.0,ground water based,not specified,state and others,state & other completed and subsumed for retrofit & augmentation,117.21,55.674,5.861,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion bhopal,8321375.0,bagraj  ps,2.34,2020-2021,30-12-2020,18-06-2021,04-10-2024,30-11-2024,2.36558,0.0,2.36558,2.36558,1.18279,2.36558,1.18279,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.17,0.0,100.0,physically completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division gwalior,8370452.0,primary school khediyakeshar,1.72,2021-2022,22-12-2020,01-04-2021,07-03-2023,08-03-2023,1.72,0.0,1.72,1.72,0.855,1.72,0.855,financially completed,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.86,0.0,100.0,physically completed,not provided,not specified,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed divivsion harda,8333884.0,high school jjm rahatgaon,1.19,2020-2021,20-11-2020,24-05-2021,08-01-2025,31-01-2025,1.19,0.0,1.19,1.1,0.55,1.1,0.55,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.595,0.0,100.0,physically completed,not provided,not specified,not provided,2021.0,23-04-2025
madhya pradesh,e.e. phed division chhindwara,30250694.0,"kukadehikhapa_,ps",1.81,2020-2021,27-01-2021,17-04-2023,11-11-2024,30-04-2025,1.81,0.0,1.81,1.81,0.0,1.81,0.0,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,0.905,0.0,100.0,physically completed,not provided,not specified,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion bhopal,8367535.0,pipaliya junadar  ps,2.34,2020-2021,30-12-2020,18-06-2021,07-10-2024,30-11-2024,2.34,0.0,2.34,1.72298,0.52226,1.72298,0.52226,ongoing,new pws scheme,svs,0.0,3.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.17,0.0,100.0,physically completed,not provided,2022.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division gwalior,30069664.0,benipura pwss jjm,62.82,2022-2023,08-09-2021,17-10-2022,14-12-2023,31-07-2024,62.82,0.0,62.82,55.81371,27.90686,55.81371,27.90686,ongoing,new pws scheme,svs,90.0,90.0,ground water based,not specified,jjm-pws,pws schemes,62.82,28.269,6.282,100.0,physically completed,not provided,2023.0,not provided,2023.0,23-04-2025
madhya pradesh,e.e. phed division bhind,30210791.0,bhujpura new jjm pwss,154.16,2022-2023,28-12-2022,10-05-2023,not provided,31-12-2025,154.16,0.0,154.16,65.78137,13.71569,65.78137,13.71569,ongoing,new pws scheme,svs,500.0,217.0,ground water based,not specified,jjm-pws,pws schemes,154.16,73.226,7.708,15.0,ongoing but physically not completed,not provided,2024.0,not provided,2025.0,23-04-2025
madhya pradesh,e.e. phed divivsion rajgarh,30237386.0,bawalda anganwadi 3,4.59,2022-2023,26-08-2022,14-11-2022,not provided,30-04-2024,4.59,0.0,4.59,4.56999,1.01384,4.56999,1.01384,ongoing,new pws scheme,svs,12.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,2.295,0.0,0.0,ongoing but physically not completed,not provided,not specified,not provided,2024.0,23-04-2025
madhya pradesh,e.e. phed division neemuch,8364077.0,ps sitaro ki badi,2.24,2021-2022,09-03-2021,01-04-2021,30-09-2021,31-03-2022,2.24,0.0,2.24,2.24,1.12,2.24,1.12,ongoing,new pws scheme,svs,0.0,0.0,ground water based,not specified,jjm-pws,exclusive schools/ awc,0.0,1.12,0.0,100.0,physically completed,not provided,not specified,not provided,2022.0,23-04-2025
